pm25,rr,rr_lb90,rr_ub90,rr_lb95,rr_ub95
0,1,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1.002,1,1.003
4,1,1,1.012,1,1.014
5,1.011,1,1.026,1,1.029
6,1.026,1.016,1.043,1.011,1.046
7,1.044,1.028,1.064,1.023,1.068
8,1.063,1.036,1.088,1.029,1.091
9,1.081,1.044,1.114,1.035,1.119
10,1.099,1.051,1.144,1.04,1.149
11,1.116,1.058,1.176,1.046,1.184
12,1.134,1.065,1.208,1.051,1.22
13,1.151,1.072,1.24,1.057,1.254
14,1.168,1.079,1.273,1.063,1.292
15,1.186,1.086,1.308,1.069,1.33
16,1.203,1.093,1.342,1.075,1.368
17,1.221,1.1,1.379,1.08,1.409
18,1.239,1.107,1.416,1.086,1.451
19,1.257,1.115,1.454,1.092,1.498
20,1.274,1.121,1.494,1.097,1.54
21,1.292,1.128,1.532,1.103,1.582
22,1.311,1.135,1.57,1.108,1.628
23,1.329,1.142,1.611,1.114,1.674
24,1.347,1.149,1.653,1.119,1.722
25,1.365,1.156,1.694,1.125,1.768
26,1.383,1.162,1.736,1.13,1.814
27,1.401,1.169,1.779,1.135,1.862
28,1.419,1.175,1.822,1.141,1.911
29,1.436,1.182,1.864,1.146,1.958
30,1.454,1.188,1.904,1.151,2.003
31,1.471,1.194,1.945,1.156,2.048
32,1.489,1.2,1.987,1.161,2.092
33,1.505,1.206,2.034,1.166,2.135
34,1.522,1.212,2.078,1.17,2.182
35,1.537,1.217,2.118,1.175,2.229
36,1.553,1.223,2.158,1.18,2.274
37,1.567,1.228,2.197,1.184,2.315
38,1.582,1.233,2.236,1.188,2.356
39,1.595,1.238,2.274,1.192,2.401
40,1.609,1.243,2.312,1.196,2.445
41,1.621,1.247,2.35,1.2,2.488
42,1.634,1.251,2.389,1.203,2.53
43,1.646,1.255,2.423,1.207,2.571
44,1.658,1.259,2.456,1.21,2.611
45,1.669,1.263,2.486,1.213,2.65
46,1.68,1.267,2.514,1.216,2.689
47,1.689,1.27,2.55,1.219,2.728
48,1.699,1.273,2.578,1.222,2.765
49,1.708,1.276,2.612,1.225,2.802
50,1.718,1.279,2.644,1.227,2.839
51,1.727,1.282,2.671,1.229,2.875
52,1.736,1.284,2.697,1.231,2.911
53,1.744,1.286,2.723,1.233,2.946
54,1.751,1.288,2.748,1.234,2.981
55,1.757,1.289,2.773,1.236,3.016
56,1.763,1.29,2.802,1.237,3.05
57,1.768,1.291,2.826,1.238,3.078
58,1.773,1.292,2.849,1.238,3.111
59,1.777,1.292,2.87,1.239,3.139
60,1.779,1.292,2.885,1.239,3.166
61,1.782,1.292,2.895,1.239,3.169
62,1.784,1.292,2.908,1.239,3.188
63,1.785,1.292,2.922,1.238,3.215
64,1.786,1.293,2.934,1.238,3.243
65,1.787,1.293,2.949,1.237,3.27
66,1.789,1.293,2.967,1.236,3.297
67,1.79,1.293,2.981,1.235,3.323
68,1.791,1.294,2.991,1.235,3.35
69,1.792,1.294,3,1.235,3.377
70,1.792,1.293,3.025,1.235,3.399
 ,,,,,
